t;x;x_d;x_dd;x_ddd;x_dddd;F
2.890000;4.671050;4.576860;2.722015;0.472779;-0.254815;4.202103
2.900000;4.716955;4.604103;2.726730;0.470235;-0.253953;4.189515
2.910000;4.763132;4.631394;2.731420;0.467700;-0.253093;4.176966
2.920000;4.809583;4.658732;2.736084;0.465173;-0.252236;4.164454
2.930000;4.856307;4.686116;2.740724;0.462655;-0.251382;4.151979
2.940000;4.903305;4.713546;2.745338;0.460145;-0.250531;4.139542
2.950000;4.950578;4.741022;2.749926;0.457644;-0.249682;4.127142
2.960000;4.998126;4.768545;2.754490;0.455152;-0.248836;4.114779
2.970000;5.045949;4.796112;2.759030;0.452668;-0.247992;4.102453
2.980000;5.094048;4.823725;2.763544;0.450192;-0.247151;4.090164
2.990000;5.142424;4.851383;2.768033;0.447725;-0.246313;4.077912
3.000000;5.191076;4.879086;2.772498;0.445266;-0.245477;4.065697
3.010000;5.240005;4.906833;2.776939;0.442815;-0.244644;4.053518
3.020000;5.289213;4.934624;2.781355;0.440373;-0.243813;4.041375
3.030000;5.338698;4.962460;2.785746;0.437939;-0.242985;4.029269
3.040000;5.388462;4.990339;2.790113;0.435513;-0.242160;4.017200
3.050000;5.438505;5.018262;2.794457;0.433095;-0.241337;4.005166
3.060000;5.488827;5.046228;2.798775;0.430686;-0.240517;3.993169
3.070000;5.539430;5.074237;2.803070;0.428285;-0.239699;3.981207
3.080000;5.590312;5.102290;2.807341;0.425892;-0.238883;3.969281
3.090000;5.641476;5.130384;2.811588;0.423507;-0.238071;3.957391
3.100000;5.692920;5.158521;2.815811;0.421131;-0.237260;3.945537
3.110000;5.744646;5.186700;2.820011;0.418762;-0.236453;3.933718
3.120000;5.796654;5.214921;2.824187;0.416402;-0.235648;3.921935
3.130000;5.848945;5.243184;2.828339;0.414049;-0.234845;3.910187
3.140000;5.901518;5.271488;2.832468;0.411705;-0.234045;3.898474
3.150000;5.954375;5.299833;2.836573;0.409368;-0.233247;3.886796
3.160000;6.007515;5.328219;2.840655;0.407040;-0.232452;3.875153
3.170000;6.060939;5.356646;2.844714;0.404719;-0.231659;3.863545
